epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,7.508613879864033,8.063593482971191,5.060546875,12.2265625,0.01
1,6.9645980321444,7.82808027267456,6.736328125,15.37890625,0.009997532801828659
2,7.022464458759014,7.594427013397217,8.6484375,18.79296875,0.009990133642141357
3,6.979250797858605,7.367014312744141,10.634765625,22.478515625,0.0099778098230154
4,7.111131778130164,7.147036170959472,12.771484375,26.337890625,0.00996057350657239
5,6.914042289440449,6.932786750793457,14.8359375,30.123046875,0.009938441702975689
6,6.994546413421631,6.725765705108643,17.123046875,34.138671875,0.009911436253643444
7,7.135881423950195,6.524803256988525,19.498046875,38.119140625,0.009879583809693738
8,7.15329122543335,6.3306177139282225,21.806640625,42.056640625,0.009842915805643155
9,7.032593250274658,6.142866134643555,24.322265625,45.806640625,0.009801468428384716
10,7.12637446476863,5.960214042663575,26.75390625,49.40625,0.009755282581475769
11,6.898497984959529,5.785149383544922,29.03515625,52.90625,0.009704403844771128
12,6.965232665722187,5.615902519226074,31.205078125,56.03125,0.009648882429441256
13,6.991405487060547,5.454114532470703,33.427734375,58.765625,0.009588773128419905
14,7.004367131453294,5.297848224639893,35.42578125,61.21484375,0.009524135262330098
15,6.983318695655236,5.146673011779785,37.337890625,63.55859375,0.00945503262094184
16,6.8781699400681715,5.002134132385254,39.15234375,65.625,0.009381533400219317
17,6.93822116118211,4.862405109405517,40.87109375,67.505859375,0.009303710135019719
18,6.92270275262686,4.727397060394287,42.423828125,69.015625,0.009221639627510075
19,6.945113255427434,4.597799777984619,44.021484375,70.453125,0.009135402871372808
20,6.933834516085112,4.473664379119873,45.373046875,71.71875,0.009045084971874737
21,6.936177363762488,4.354752159118652,46.662109375,72.849609375,0.008950775061878451
22,6.740321966317984,4.24053430557251,47.82421875,73.8359375,0.008852566213878947
23,6.8556581277113695,4.131852436065674,48.857421875,74.71484375,0.008750555348152299
24,6.852385117457463,4.027042484283447,49.8359375,75.4296875,0.008644843137107058
25,6.863276775066669,3.926366090774536,50.78125,76.208984375,0.008535533905932738
26,6.872339615455041,3.8310767650604247,51.650390625,76.78125,0.008422735529643444
27,6.906008610358605,3.7403063774108887,52.423828125,77.33203125,0.00830655932661826
28,6.794411439162034,3.6528152942657472,53.140625,77.822265625,0.008187119948743448
29,6.865252568171575,3.5691179275512694,53.853515625,78.22265625,0.008064535268264884
30,6.911520664508526,3.490711498260498,54.517578125,78.619140625,0.007938926261462366
31,6.779213245098408,3.415991926193237,55.115234375,79.001953125,0.007810416889260654
32,6.748414809887226,3.344160556793213,55.69140625,79.333984375,0.007679133974894983
33,6.6866027758671684,3.2768385887145994,56.162109375,79.625,0.0075452070787518566
34,6.84393284871028,3.212285280227661,56.537109375,79.951171875,0.0074087683705085765
35,6.847432833451491,3.1507612228393556,56.94921875,80.203125,0.007269952498697734
36,6.640279183020959,3.0919482707977295,57.376953125,80.466796875,0.007128896457825364
37,6.909423277928279,3.037278079986572,57.794921875,80.6796875,0.006985739453173902
38,6.649523148169885,2.9847150802612306,58.1171875,80.88671875,0.006840622763423391
39,6.717424466059758,2.9340124130249023,58.416015625,81.109375,0.0066936896012264584
40,6.7184534806471605,2.8864742279052735,58.6796875,81.2265625,0.006545084971874737
41,6.73966015302218,2.8416906356811524,58.94921875,81.37890625,0.006394955530196147
42,6.624505960024321,2.799285411834717,59.166015625,81.498046875,0.006243449435824273
43,6.625236511230469,2.758719301223755,59.43359375,81.63671875,0.0060907162069827134
44,6.658782152029184,2.721067190170288,59.625,81.7578125,0.005936906572928624
45,6.58253368964562,2.684393358230591,59.806640625,81.900390625,0.0057821723252011546
46,6.792091112870437,2.6496193408966064,60.0390625,82.015625,0.005626666167821522
47,6.583278876084548,2.6166351795196534,60.2265625,82.134765625,0.005470541566592572
epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
48,6.739633596860445,2.5855270862579345,60.3828125,82.26953125,0.005313952597646567
49,6.461406781123235,2.5554461002349855,60.498046875,82.3671875,0.005157053795390641
50,6.5419464111328125,2.526621913909912,60.6640625,82.453125,0.005
51,6.490335317758413,2.499374437332153,60.861328125,82.53515625,0.004842946204609359
52,6.618165309612568,2.4739314556121825,61.03515625,82.61328125,0.004686047402353433
53,6.411944205944355,2.4495752334594725,61.173828125,82.6875,0.004529458433407428
54,6.491239987886869,2.426466464996338,61.287109375,82.74609375,0.004373333832178479
55,6.613449500157283,2.4043970584869383,61.4296875,82.822265625,0.004217827674798846
56,6.613299296452449,2.383275365829468,61.529296875,82.880859375,0.004063093427071377
57,6.490831448481633,2.363273525238037,61.62109375,82.935546875,0.0039092837930172885
58,6.565644410940317,2.3440043449401857,61.73828125,82.96875,0.0037565505641757257
epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
59,6.586019002474272,2.3260887622833253,61.841796875,83.013671875,0.003605044469803854
60,6.3079619040856,2.308455801010132,61.900390625,83.0859375,0.0034549150281252645
61,6.3914079666137695,2.291507911682129,62.001953125,83.140625,0.003306310398773543
62,6.344256144303542,2.2755011558532714,62.12109375,83.166015625,0.0031593772365766117
63,6.4751517956073465,2.260590362548828,62.21484375,83.189453125,0.0030142605468260965
64,6.2638265536381645,2.246333456039429,62.337890625,83.232421875,0.0028711035421746366
65,6.3407303003164435,2.2327075004577637,62.40234375,83.283203125,0.0027300475013022664
66,6.466442438272329,2.219658613204956,62.474609375,83.330078125,0.002591231629491423
67,6.474647448613093,2.207055902481079,62.552734375,83.36328125,0.0024547929212481437
68,6.3548443134014425,2.195001316070557,62.626953125,83.4453125,0.0023208660251050157
69,6.4268628267141485,2.183138608932495,62.705078125,83.466796875,0.0021895831107393467
epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
70,6.451426946199858,2.1722583293914797,62.7734375,83.490234375,0.0020610737385376348
71,6.166860653803899,2.161595916748047,62.82421875,83.521484375,0.001935464731735117
72,6.25903085561899,2.1511905670166014,62.884765625,83.52734375,0.0018128800512565513
73,6.20762117092426,2.1414236545562746,62.9296875,83.587890625,0.0016934406733817415
74,6.343405943650466,2.132224130630493,62.9453125,83.6328125,0.0015772644703565563
75,6.137574856097881,2.1234661817550657,62.98828125,83.65234375,0.0014644660940672626
76,6.219758327190693,2.1150213718414306,63.017578125,83.689453125,0.0013551568628929435
77,6.347157038175142,2.10696702003479,63.095703125,83.716796875,0.001249444651847702
78,6.374576201805701,2.099243950843811,63.138671875,83.740234375,0.0011474337861210543
79,6.238533863654504,2.091742181777954,63.20703125,83.796875,0.001049224938121548
80,6.320831922384409,2.084365224838257,63.251953125,83.806640625,0.0009549150281252633
epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
81,6.355510161473201,2.0775747537612914,63.279296875,83.84375,0.0008645971286271914
82,6.07847496179434,2.0709247827529906,63.3203125,83.87109375,0.0007783603724899257
83,6.164140958052415,2.0643646240234377,63.380859375,83.900390625,0.0006962898649802812
84,6.115431492145245,2.058095932006836,63.43359375,83.931640625,0.0006184665997806821
85,6.255762467017541,2.0522024154663088,63.44140625,83.955078125,0.0005449673790581611
86,6.058081113375151,2.046575164794922,63.52734375,83.99609375,0.00047586473766990324
87,6.141683358412522,2.0411338567733766,63.5859375,84.013671875,0.0004112268715800954
88,6.276101112365723,2.035904383659363,63.607421875,84.04296875,0.0003511175705587433
89,6.289808566753681,2.0309260368347166,63.640625,84.068359375,0.00029559615522887275
